REF_DATE,GEO,Type of grain,UOM,SCALAR_FACTOR,VALUE
2021-11,Canada,"Wheat, total",Tonnes,units,1700022
2021-12,Canada,"Wheat, total",Tonnes,units,1568017
2001-08,Canada,"Wheat, excluding durum",Tonnes,units,1553536
2001-09,Canada,"Wheat, excluding durum",Tonnes,units,1354860
2001-10,Canada,"Wheat, excluding durum",Tonnes,units,1762748
2001-11,Canada,"Wheat, excluding durum",Tonnes,units,1352079
2001-12,Canada,"Wheat, excluding durum",Tonnes,units,1325116
2002-01,Canada,"Wheat, excluding durum",Tonnes,units,1101486
2002-02,Canada,"Wheat, excluding durum",Tonnes,units,1273057
2002-03,Canada,"Wheat, excluding durum",Tonnes,units,1079688
2002-04,Canada,"Wheat, excluding durum",Tonnes,units,1022353
2002-05,Canada,"Wheat, excluding durum",Tonnes,units,844496
2002-06,Canada,"Wheat, excluding durum",Tonnes,units,906858
2002-07,Canada,"Wheat, excluding durum",Tonnes,units,1718886
2002-08,Canada,"Wheat, excluding durum",Tonnes,units,1037416
2002-09,Canada,"Wheat, excluding durum",Tonnes,units,1000075
2002-10,Canada,"Wheat, excluding durum",Tonnes,units,1156861
2002-11,Canada,"Wheat, excluding durum",Tonnes,units,1111739
2002-12,Canada,"Wheat, excluding durum",Tonnes,units,1178674
2003-01,Canada,"Wheat, excluding durum",Tonnes,units,458175
2003-02,Canada,"Wheat, excluding durum",Tonnes,units,587863
2003-03,Canada,"Wheat, excluding durum",Tonnes,units,581190
2003-04,Canada,"Wheat, excluding durum",Tonnes,units,810996
2003-05,Canada,"Wheat, excluding durum",Tonnes,units,626637
2003-06,Canada,"Wheat, excluding durum",Tonnes,units,739814
2003-07,Canada,"Wheat, excluding durum",Tonnes,units,1554694
2003-08,Canada,"Wheat, excluding durum",Tonnes,units,2126973
2003-09,Canada,"Wheat, excluding durum",Tonnes,units,1394989
2003-10,Canada,"Wheat, excluding durum",Tonnes,units,1307172
2003-11,Canada,"Wheat, excluding durum",Tonnes,units,1113853
2003-12,Canada,"Wheat, excluding durum",Tonnes,units,1694861
2004-01,Canada,"Wheat, excluding durum",Tonnes,units,800345
2004-02,Canada,"Wheat, excluding durum",Tonnes,units,791847
2004-03,Canada,"Wheat, excluding durum",Tonnes,units,1444740
2004-04,Canada,"Wheat, excluding durum",Tonnes,units,846542
2004-05,Canada,"Wheat, excluding durum",Tonnes,units,830876
2004-06,Canada,"Wheat, excluding durum",Tonnes,units,1820229
2004-07,Canada,"Wheat, excluding durum",Tonnes,units,2155727
2004-08,Canada,"Wheat, excluding durum",Tonnes,units,928146
2004-09,Canada,"Wheat, excluding durum",Tonnes,units,1477574
2004-10,Canada,"Wheat, excluding durum",Tonnes,units,1280582
2004-11,Canada,"Wheat, excluding durum",Tonnes,units,1638842
2004-12,Canada,"Wheat, excluding durum",Tonnes,units,1648386
2005-01,Canada,"Wheat, excluding durum",Tonnes,units,1413552
2005-02,Canada,"Wheat, excluding durum",Tonnes,units,1199967
2005-03,Canada,"Wheat, excluding durum",Tonnes,units,1400780
2005-04,Canada,"Wheat, excluding durum",Tonnes,units,1052284
2005-05,Canada,"Wheat, excluding durum",Tonnes,units,777913
2005-06,Canada,"Wheat, excluding durum",Tonnes,units,1577078
2005-07,Canada,"Wheat, excluding durum",Tonnes,units,2125229
2005-08,Canada,"Wheat, excluding durum",Tonnes,units,1246995
2005-09,Canada,"Wheat, excluding durum",Tonnes,units,1323714
2005-10,Canada,"Wheat, excluding durum",Tonnes,units,1089407
2005-11,Canada,"Wheat, excluding durum",Tonnes,units,1538987
2005-12,Canada,"Wheat, excluding durum",Tonnes,units,1150978
2006-01,Canada,"Wheat, excluding durum",Tonnes,units,1053708
2006-02,Canada,"Wheat, excluding durum",Tonnes,units,984919
2006-03,Canada,"Wheat, excluding durum",Tonnes,units,1507169
2006-04,Canada,"Wheat, excluding durum",Tonnes,units,1324474
2006-05,Canada,"Wheat, excluding durum",Tonnes,units,1350271
2006-06,Canada,"Wheat, excluding durum",Tonnes,units,1612310
2006-07,Canada,"Wheat, excluding durum",Tonnes,units,2503111
2006-08,Canada,"Wheat, excluding durum",Tonnes,units,2086659
2006-09,Canada,"Wheat, excluding durum",Tonnes,units,1492531
2006-10,Canada,"Wheat, excluding durum",Tonnes,units,1522788
2006-11,Canada,"Wheat, excluding durum",Tonnes,units,1738378
2006-12,Canada,"Wheat, excluding durum",Tonnes,units,1248093
2007-01,Canada,"Wheat, excluding durum",Tonnes,units,1444717
2007-02,Canada,"Wheat, excluding durum",Tonnes,units,1313043
2007-03,Canada,"Wheat, excluding durum",Tonnes,units,1481325
2007-04,Canada,"Wheat, excluding durum",Tonnes,units,1133124
2007-05,Canada,"Wheat, excluding durum",Tonnes,units,1470291
2007-06,Canada,"Wheat, excluding durum",Tonnes,units,1829152
2007-07,Canada,"Wheat, excluding durum",Tonnes,units,2520151
2007-08,Canada,"Wheat, excluding durum",Tonnes,units,1633742
2007-09,Canada,"Wheat, excluding durum",Tonnes,units,1032904
2007-10,Canada,"Wheat, excluding durum",Tonnes,units,1206462
2007-11,Canada,"Wheat, excluding durum",Tonnes,units,1284438
2007-12,Canada,"Wheat, excluding durum",Tonnes,units,1184276
2008-01,Canada,"Wheat, excluding durum",Tonnes,units,1058689
2008-02,Canada,"Wheat, excluding durum",Tonnes,units,1114922
2008-03,Canada,"Wheat, excluding durum",Tonnes,units,1141644
2008-04,Canada,"Wheat, excluding durum",Tonnes,units,1057967
2008-05,Canada,"Wheat, excluding durum",Tonnes,units,1147174
2008-06,Canada,"Wheat, excluding durum",Tonnes,units,1305449
2008-07,Canada,"Wheat, excluding durum",Tonnes,units,2038068
2008-08,Canada,"Wheat, excluding durum",Tonnes,units,1778287
2008-09,Canada,"Wheat, excluding durum",Tonnes,units,1629709
2008-10,Canada,"Wheat, excluding durum",Tonnes,units,1472269
2008-11,Canada,"Wheat, excluding durum",Tonnes,units,1678651
2008-12,Canada,"Wheat, excluding durum",Tonnes,units,1347707
2009-01,Canada,"Wheat, excluding durum",Tonnes,units,1221947
2009-02,Canada,"Wheat, excluding durum",Tonnes,units,1392375
2009-03,Canada,"Wheat, excluding durum",Tonnes,units,1609225
2009-04,Canada,"Wheat, excluding durum",Tonnes,units,1772243
2009-05,Canada,"Wheat, excluding durum",Tonnes,units,1298833
2009-06,Canada,"Wheat, excluding durum",Tonnes,units,1898834
2009-07,Canada,"Wheat, excluding durum",Tonnes,units,2398842
2009-08,Canada,"Wheat, excluding durum",Tonnes,units,1013915
2009-09,Canada,"Wheat, excluding durum",Tonnes,units,2430839
2009-10,Canada,"Wheat, excluding durum",Tonnes,units,1387956
2009-11,Canada,"Wheat, excluding durum",Tonnes,units,1738758
2009-12,Canada,"Wheat, excluding durum",Tonnes,units,1448073
2010-01,Canada,"Wheat, excluding durum",Tonnes,units,1435955
2010-02,Canada,"Wheat, excluding durum",Tonnes,units,1592034
2010-03,Canada,"Wheat, excluding durum",Tonnes,units,1560173
2010-04,Canada,"Wheat, excluding durum",Tonnes,units,1409940
2010-05,Canada,"Wheat, excluding durum",Tonnes,units,999342
2010-06,Canada,"Wheat, excluding durum",Tonnes,units,1787429
2010-07,Canada,"Wheat, excluding durum",Tonnes,units,2290382
2010-08,Canada,"Wheat, excluding durum",Tonnes,units,1121349
2010-09,Canada,"Wheat, excluding durum",Tonnes,units,1159592
2010-10,Canada,"Wheat, excluding durum",Tonnes,units,1130332
2010-11,Canada,"Wheat, excluding durum",Tonnes,units,1296716
2010-12,Canada,"Wheat, excluding durum",Tonnes,units,1345247
2011-01,Canada,"Wheat, excluding durum",Tonnes,units,1208900
2011-02,Canada,"Wheat, excluding durum",Tonnes,units,1131481
2011-03,Canada,"Wheat, excluding durum",Tonnes,units,1583406
2011-04,Canada,"Wheat, excluding durum",Tonnes,units,1170334
2011-05,Canada,"Wheat, excluding durum",Tonnes,units,1014571
2011-06,Canada,"Wheat, excluding durum",Tonnes,units,1894309
2011-07,Canada,"Wheat, excluding durum",Tonnes,units,2262571
2011-08,Canada,"Wheat, excluding durum",Tonnes,units,1535400
2011-09,Canada,"Wheat, excluding durum",Tonnes,units,1503825
2011-10,Canada,"Wheat, excluding durum",Tonnes,units,1282826
2011-11,Canada,"Wheat, excluding durum",Tonnes,units,2244721
2011-12,Canada,"Wheat, excluding durum",Tonnes,units,1456758
2012-01,Canada,"Wheat, excluding durum",Tonnes,units,1297958
2012-02,Canada,"Wheat, excluding durum",Tonnes,units,1795712
2012-03,Canada,"Wheat, excluding durum",Tonnes,units,1310633
2012-04,Canada,"Wheat, excluding durum",Tonnes,units,1201402
2012-05,Canada,"Wheat, excluding durum",Tonnes,units,1396726
2012-06,Canada,"Wheat, excluding durum",Tonnes,units,1232510
2012-07,Canada,"Wheat, excluding durum",Tonnes,units,1972873
2012-08,Canada,"Wheat, excluding durum",Tonnes,units,2031273
2012-09,Canada,"Wheat, excluding durum",Tonnes,units,1448379
2012-10,Canada,"Wheat, excluding durum",Tonnes,units,1746510
2012-11,Canada,"Wheat, excluding durum",Tonnes,units,1628860
2012-12,Canada,"Wheat, excluding durum",Tonnes,units,1286149
2013-01,Canada,"Wheat, excluding durum",Tonnes,units,1643899
2013-02,Canada,"Wheat, excluding durum",Tonnes,units,1573170
2013-03,Canada,"Wheat, excluding durum",Tonnes,units,1313968
2013-04,Canada,"Wheat, excluding durum",Tonnes,units,1368472
2013-05,Canada,"Wheat, excluding durum",Tonnes,units,1051392
2013-06,Canada,"Wheat, excluding durum",Tonnes,units,1456309
2013-07,Canada,"Wheat, excluding durum",Tonnes,units,1974350
2013-08,Canada,"Wheat, excluding durum",Tonnes,units,1849263
2013-09,Canada,"Wheat, excluding durum",Tonnes,units,2720951
2013-10,Canada,"Wheat, excluding durum",Tonnes,units,2041013
2013-11,Canada,"Wheat, excluding durum",Tonnes,units,1653077
2013-12,Canada,"Wheat, excluding durum",Tonnes,units,1548820
2014-01,Canada,"Wheat, excluding durum",Tonnes,units,1753515
2014-02,Canada,"Wheat, excluding durum",Tonnes,units,1488258
2014-03,Canada,"Wheat, excluding durum",Tonnes,units,1889051
2014-04,Canada,"Wheat, excluding durum",Tonnes,units,1967915
2014-05,Canada,"Wheat, excluding durum",Tonnes,units,1646292
2014-06,Canada,"Wheat, excluding durum",Tonnes,units,2285048
2014-07,Canada,"Wheat, excluding durum",Tonnes,units,2761443
2014-08,Canada,"Wheat, excluding durum",Tonnes,units,2412272
2014-09,Canada,"Wheat, excluding durum",Tonnes,units,1891273
2014-10,Canada,"Wheat, excluding durum",Tonnes,units,1989390
2014-11,Canada,"Wheat, excluding durum",Tonnes,units,1819514
2014-12,Canada,"Wheat, excluding durum",Tonnes,units,1590818
2015-01,Canada,"Wheat, excluding durum",Tonnes,units,1687943
2015-02,Canada,"Wheat, excluding durum",Tonnes,units,1832318
2015-03,Canada,"Wheat, excluding durum",Tonnes,units,1946106
2015-04,Canada,"Wheat, excluding durum",Tonnes,units,1881165
2015-05,Canada,"Wheat, excluding durum",Tonnes,units,1825243
2015-06,Canada,"Wheat, excluding durum",Tonnes,units,2210548
2015-07,Canada,"Wheat, excluding durum",Tonnes,units,2188503
2015-08,Canada,"Wheat, excluding durum",Tonnes,units,1913112
2015-09,Canada,"Wheat, excluding durum",Tonnes,units,2319521
2015-10,Canada,"Wheat, excluding durum",Tonnes,units,1510167
2015-11,Canada,"Wheat, excluding durum",Tonnes,units,1780814
2015-12,Canada,"Wheat, excluding durum",Tonnes,units,1989546
2016-01,Canada,"Wheat, excluding durum",Tonnes,units,1663838
2016-02,Canada,"Wheat, excluding durum",Tonnes,units,1580019
2016-03,Canada,"Wheat, excluding durum",Tonnes,units,2078356
2016-04,Canada,"Wheat, excluding durum",Tonnes,units,1276595
2016-05,Canada,"Wheat, excluding durum",Tonnes,units,994018
2016-06,Canada,"Wheat, excluding durum",Tonnes,units,1980752
2016-07,Canada,"Wheat, excluding durum",Tonnes,units,1860174
2016-08,Canada,"Wheat, excluding durum",Tonnes,units,1877299
2016-09,Canada,"Wheat, excluding durum",Tonnes,units,2020470
2016-10,Canada,"Wheat, excluding durum",Tonnes,units,1447293
2016-11,Canada,"Wheat, excluding durum",Tonnes,units,1946759
2016-12,Canada,"Wheat, excluding durum",Tonnes,units,1358910
2017-01,Canada,"Wheat, excluding durum",Tonnes,units,1554673
2017-02,Canada,"Wheat, excluding durum",Tonnes,units,1503065
2017-03,Canada,"Wheat, excluding durum",Tonnes,units,2116602
2017-04,Canada,"Wheat, excluding durum",Tonnes,units,1442279
2017-05,Canada,"Wheat, excluding durum",Tonnes,units,1217228
2017-06,Canada,"Wheat, excluding durum",Tonnes,units,2708599
2017-07,Canada,"Wheat, excluding durum",Tonnes,units,1948340
2017-08,Canada,"Wheat, excluding durum",Tonnes,units,2310124
2017-09,Canada,"Wheat, excluding durum",Tonnes,units,1875739
2017-10,Canada,"Wheat, excluding durum",Tonnes,units,1476955
2017-11,Canada,"Wheat, excluding durum",Tonnes,units,2140246
2017-12,Canada,"Wheat, excluding durum",Tonnes,units,1294980
2018-01,Canada,"Wheat, excluding durum",Tonnes,units,1930054
2018-02,Canada,"Wheat, excluding durum",Tonnes,units,1461744
2018-03,Canada,"Wheat, excluding durum",Tonnes,units,1572472
2018-04,Canada,"Wheat, excluding durum",Tonnes,units,1542045
2018-05,Canada,"Wheat, excluding durum",Tonnes,units,1753432
2018-06,Canada,"Wheat, excluding durum",Tonnes,units,1892737
2018-07,Canada,"Wheat, excluding durum",Tonnes,units,2109956
2018-08,Canada,"Wheat, excluding durum",Tonnes,units,2572561
2018-09,Canada,"Wheat, excluding durum",Tonnes,units,2061815
2018-10,Canada,"Wheat, excluding durum",Tonnes,units,1762818
2018-11,Canada,"Wheat, excluding durum",Tonnes,units,2388915
2018-12,Canada,"Wheat, excluding durum",Tonnes,units,2021692
2019-01,Canada,"Wheat, excluding durum",Tonnes,units,2123532
2019-02,Canada,"Wheat, excluding durum",Tonnes,units,1525248
2019-03,Canada,"Wheat, excluding durum",Tonnes,units,1861710
2019-04,Canada,"Wheat, excluding durum",Tonnes,units,1803295
2019-05,Canada,"Wheat, excluding durum",Tonnes,units,1973961
2019-06,Canada,"Wheat, excluding durum",Tonnes,units,1692714
2019-07,Canada,"Wheat, excluding durum",Tonnes,units,1489502
2019-08,Canada,"Wheat, excluding durum",Tonnes,units,1598389
2019-09,Canada,"Wheat, excluding durum",Tonnes,units,2067173
2019-10,Canada,"Wheat, excluding durum",Tonnes,units,2537410
2019-11,Canada,"Wheat, excluding durum",Tonnes,units,1841583
2019-12,Canada,"Wheat, excluding durum",Tonnes,units,2139748
2020-01,Canada,"Wheat, excluding durum",Tonnes,units,1813948
2020-02,Canada,"Wheat, excluding durum",Tonnes,units,1657703
2020-03,Canada,"Wheat, excluding durum",Tonnes,units,1997939
2020-04,Canada,"Wheat, excluding durum",Tonnes,units,2474205
2020-05,Canada,"Wheat, excluding durum",Tonnes,units,1544933
2020-06,Canada,"Wheat, excluding durum",Tonnes,units,2331862
2020-07,Canada,"Wheat, excluding durum",Tonnes,units,3292276
2020-08,Canada,"Wheat, excluding durum",Tonnes,units,2333007
2020-09,Canada,"Wheat, excluding durum",Tonnes,units,2684491
2020-10,Canada,"Wheat, excluding durum",Tonnes,units,1984581
2020-11,Canada,"Wheat, excluding durum",Tonnes,units,1904232
2020-12,Canada,"Wheat, excluding durum",Tonnes,units,2087967
2021-01,Canada,"Wheat, excluding durum",Tonnes,units,2341964
2021-02,Canada,"Wheat, excluding durum",Tonnes,units,1771653
2021-03,Canada,"Wheat, excluding durum",Tonnes,units,2303287
2021-04,Canada,"Wheat, excluding durum",Tonnes,units,2092760
2021-05,Canada,"Wheat, excluding durum",Tonnes,units,1547465
2021-06,Canada,"Wheat, excluding durum",Tonnes,units,2466142
2021-07,Canada,"Wheat, excluding durum",Tonnes,units,2246401
2021-08,Canada,"Wheat, excluding durum",Tonnes,units,2173285
2021-09,Canada,"Wheat, excluding durum",Tonnes,units,2383509
2021-10,Canada,"Wheat, excluding durum",Tonnes,units,1683316
2021-11,Canada,"Wheat, excluding durum",Tonnes,units,1400857
2021-12,Canada,"Wheat, excluding durum",Tonnes,units,1393473
2001-08,Canada,Durum wheat,Tonnes,units,213077
2001-09,Canada,Durum wheat,Tonnes,units,95669
2001-10,Canada,Durum wheat,Tonnes,units,267163
2001-11,Canada,Durum wheat,Tonnes,units,221463
2001-12,Canada,Durum wheat,Tonnes,units,223270
2002-01,Canada,Durum wheat,Tonnes,units,298080
2002-02,Canada,Durum wheat,Tonnes,units,273211
2002-03,Canada,Durum wheat,Tonnes,units,181507
2002-04,Canada,Durum wheat,Tonnes,units,293549
2002-05,Canada,Durum wheat,Tonnes,units,277873
2002-06,Canada,Durum wheat,Tonnes,units,313749
2002-07,Canada,Durum wheat,Tonnes,units,589879
2002-08,Canada,Durum wheat,Tonnes,units,137932
2002-09,Canada,Durum wheat,Tonnes,units,263117
2002-10,Canada,Durum wheat,Tonnes,units,360592
2002-11,Canada,Durum wheat,Tonnes,units,366991
2002-12,Canada,Durum wheat,Tonnes,units,393064
2003-01,Canada,Durum wheat,Tonnes,units,194289
2003-02,Canada,Durum wheat,Tonnes,units,246263
2003-03,Canada,Durum wheat,Tonnes,units,151123
2003-04,Canada,Durum wheat,Tonnes,units,318213
2003-05,Canada,Durum wheat,Tonnes,units,208160
2003-06,Canada,Durum wheat,Tonnes,units,419921
2003-07,Canada,Durum wheat,Tonnes,units,450136
2003-08,Canada,Durum wheat,Tonnes,units,384556
2003-09,Canada,Durum wheat,Tonnes,units,246740
2003-10,Canada,Durum wheat,Tonnes,units,271383
2003-11,Canada,Durum wheat,Tonnes,units,295166
2003-12,Canada,Durum wheat,Tonnes,units,393125
2004-01,Canada,Durum wheat,Tonnes,units,198845
2004-02,Canada,Durum wheat,Tonnes,units,141195
2004-03,Canada,Durum wheat,Tonnes,units,114583
2004-04,Canada,Durum wheat,Tonnes,units,177039
2004-05,Canada,Durum wheat,Tonnes,units,240352
2004-06,Canada,Durum wheat,Tonnes,units,424439
2004-07,Canada,Durum wheat,Tonnes,units,517434
2004-08,Canada,Durum wheat,Tonnes,units,267975
2004-09,Canada,Durum wheat,Tonnes,units,473999
2004-10,Canada,Durum wheat,Tonnes,units,359477
2004-11,Canada,Durum wheat,Tonnes,units,312159
2004-12,Canada,Durum wheat,Tonnes,units,318806
2005-01,Canada,Durum wheat,Tonnes,units,174234
2005-02,Canada,Durum wheat,Tonnes,units,164061
2005-03,Canada,Durum wheat,Tonnes,units,219278
2005-04,Canada,Durum wheat,Tonnes,units,276781
2005-05,Canada,Durum wheat,Tonnes,units,296109
2005-06,Canada,Durum wheat,Tonnes,units,507102
2005-07,Canada,Durum wheat,Tonnes,units,693488
2005-08,Canada,Durum wheat,Tonnes,units,330428
2005-09,Canada,Durum wheat,Tonnes,units,321781
2005-10,Canada,Durum wheat,Tonnes,units,340735
2005-11,Canada,Durum wheat,Tonnes,units,379936
2005-12,Canada,Durum wheat,Tonnes,units,210108
2006-01,Canada,Durum wheat,Tonnes,units,314192
2006-02,Canada,Durum wheat,Tonnes,units,322101
2006-03,Canada,Durum wheat,Tonnes,units,390663
2006-04,Canada,Durum wheat,Tonnes,units,361018
2006-05,Canada,Durum wheat,Tonnes,units,423766
2006-06,Canada,Durum wheat,Tonnes,units,558412
2006-07,Canada,Durum wheat,Tonnes,units,638766
2006-08,Canada,Durum wheat,Tonnes,units,274852
2006-09,Canada,Durum wheat,Tonnes,units,257996
2006-10,Canada,Durum wheat,Tonnes,units,337978
2006-11,Canada,Durum wheat,Tonnes,units,530314
2006-12,Canada,Durum wheat,Tonnes,units,307686
2007-01,Canada,Durum wheat,Tonnes,units,317140
2007-02,Canada,Durum wheat,Tonnes,units,272099
2007-03,Canada,Durum wheat,Tonnes,units,242685
2007-04,Canada,Durum wheat,Tonnes,units,349236
2007-05,Canada,Durum wheat,Tonnes,units,350331
2007-06,Canada,Durum wheat,Tonnes,units,411213
2007-07,Canada,Durum wheat,Tonnes,units,514770
2007-08,Canada,Durum wheat,Tonnes,units,325383
2007-09,Canada,Durum wheat,Tonnes,units,333133
2007-10,Canada,Durum wheat,Tonnes,units,445509
2007-11,Canada,Durum wheat,Tonnes,units,363524
2007-12,Canada,Durum wheat,Tonnes,units,309957
2008-01,Canada,Durum wheat,Tonnes,units,258856
2008-02,Canada,Durum wheat,Tonnes,units,209000
2008-03,Canada,Durum wheat,Tonnes,units,242551
2008-04,Canada,Durum wheat,Tonnes,units,248196
2008-05,Canada,Durum wheat,Tonnes,units,114976
2008-06,Canada,Durum wheat,Tonnes,units,146029
2008-07,Canada,Durum wheat,Tonnes,units,266670
2008-08,Canada,Durum wheat,Tonnes,units,60870
2008-09,Canada,Durum wheat,Tonnes,units,376602
2008-10,Canada,Durum wheat,Tonnes,units,467855
2008-11,Canada,Durum wheat,Tonnes,units,442851
2008-12,Canada,Durum wheat,Tonnes,units,327329
2009-01,Canada,Durum wheat,Tonnes,units,269561
2009-02,Canada,Durum wheat,Tonnes,units,398068
2009-03,Canada,Durum wheat,Tonnes,units,337744
2009-04,Canada,Durum wheat,Tonnes,units,384841
2009-05,Canada,Durum wheat,Tonnes,units,319667
2009-06,Canada,Durum wheat,Tonnes,units,464916
2009-07,Canada,Durum wheat,Tonnes,units,499188
2009-08,Canada,Durum wheat,Tonnes,units,145865
2009-09,Canada,Durum wheat,Tonnes,units,441969
2009-10,Canada,Durum wheat,Tonnes,units,257048
2009-11,Canada,Durum wheat,Tonnes,units,274494
2009-12,Canada,Durum wheat,Tonnes,units,266203
2010-01,Canada,Durum wheat,Tonnes,units,338195
2010-02,Canada,Durum wheat,Tonnes,units,264675
2010-03,Canada,Durum wheat,Tonnes,units,345270
2010-04,Canada,Durum wheat,Tonnes,units,377643
2010-05,Canada,Durum wheat,Tonnes,units,241097
2010-06,Canada,Durum wheat,Tonnes,units,383416
2010-07,Canada,Durum wheat,Tonnes,units,405012
2010-08,Canada,Durum wheat,Tonnes,units,372578
2010-09,Canada,Durum wheat,Tonnes,units,290411
2010-10,Canada,Durum wheat,Tonnes,units,209862
2010-11,Canada,Durum wheat,Tonnes,units,360123
2010-12,Canada,Durum wheat,Tonnes,units,344431
2011-01,Canada,Durum wheat,Tonnes,units,218326
2011-02,Canada,Durum wheat,Tonnes,units,242863
2011-03,Canada,Durum wheat,Tonnes,units,308743
2011-04,Canada,Durum wheat,Tonnes,units,208111
2011-05,Canada,Durum wheat,Tonnes,units,195697
2011-06,Canada,Durum wheat,Tonnes,units,367814
2011-07,Canada,Durum wheat,Tonnes,units,401513
2011-08,Canada,Durum wheat,Tonnes,units,227912
2011-09,Canada,Durum wheat,Tonnes,units,335384
2011-10,Canada,Durum wheat,Tonnes,units,420305
2011-11,Canada,Durum wheat,Tonnes,units,457976
2011-12,Canada,Durum wheat,Tonnes,units,221212
2012-01,Canada,Durum wheat,Tonnes,units,318676
2012-02,Canada,Durum wheat,Tonnes,units,266225
2012-03,Canada,Durum wheat,Tonnes,units,271459
2012-04,Canada,Durum wheat,Tonnes,units,320355
2012-05,Canada,Durum wheat,Tonnes,units,247792
2012-06,Canada,Durum wheat,Tonnes,units,325678
2012-07,Canada,Durum wheat,Tonnes,units,416049
2012-08,Canada,Durum wheat,Tonnes,units,241336
2012-09,Canada,Durum wheat,Tonnes,units,389058
2012-10,Canada,Durum wheat,Tonnes,units,611708
2012-11,Canada,Durum wheat,Tonnes,units,428407
2012-12,Canada,Durum wheat,Tonnes,units,308567
2013-01,Canada,Durum wheat,Tonnes,units,355925
2013-02,Canada,Durum wheat,Tonnes,units,334311
2013-03,Canada,Durum wheat,Tonnes,units,373712
2013-04,Canada,Durum wheat,Tonnes,units,306890
2013-05,Canada,Durum wheat,Tonnes,units,245896
2013-06,Canada,Durum wheat,Tonnes,units,486699
2013-07,Canada,Durum wheat,Tonnes,units,455433
2013-08,Canada,Durum wheat,Tonnes,units,172608
2013-09,Canada,Durum wheat,Tonnes,units,503475
2013-10,Canada,Durum wheat,Tonnes,units,542404
2013-11,Canada,Durum wheat,Tonnes,units,474200
2013-12,Canada,Durum wheat,Tonnes,units,423150
2014-01,Canada,Durum wheat,Tonnes,units,399100
2014-02,Canada,Durum wheat,Tonnes,units,327708
2014-03,Canada,Durum wheat,Tonnes,units,530178
2014-04,Canada,Durum wheat,Tonnes,units,356800
2014-05,Canada,Durum wheat,Tonnes,units,387633
2014-06,Canada,Durum wheat,Tonnes,units,527449
2014-07,Canada,Durum wheat,Tonnes,units,740217
2014-08,Canada,Durum wheat,Tonnes,units,435624
2014-09,Canada,Durum wheat,Tonnes,units,299398
2014-10,Canada,Durum wheat,Tonnes,units,735831
2014-11,Canada,Durum wheat,Tonnes,units,681339
2014-12,Canada,Durum wheat,Tonnes,units,475220
2015-01,Canada,Durum wheat,Tonnes,units,394625
2015-02,Canada,Durum wheat,Tonnes,units,595193
2015-03,Canada,Durum wheat,Tonnes,units,363712
2015-04,Canada,Durum wheat,Tonnes,units,280893
2015-05,Canada,Durum wheat,Tonnes,units,207121
2015-06,Canada,Durum wheat,Tonnes,units,204809
2015-07,Canada,Durum wheat,Tonnes,units,243188
2015-08,Canada,Durum wheat,Tonnes,units,222656
2015-09,Canada,Durum wheat,Tonnes,units,535132
2015-10,Canada,Durum wheat,Tonnes,units,464757
2015-11,Canada,Durum wheat,Tonnes,units,522829
2015-12,Canada,Durum wheat,Tonnes,units,613402
2016-01,Canada,Durum wheat,Tonnes,units,527962
2016-02,Canada,Durum wheat,Tonnes,units,382118
2016-03,Canada,Durum wheat,Tonnes,units,416778
2016-04,Canada,Durum wheat,Tonnes,units,219118
2016-05,Canada,Durum wheat,Tonnes,units,209632
2016-06,Canada,Durum wheat,Tonnes,units,324100
2016-07,Canada,Durum wheat,Tonnes,units,267035
2016-08,Canada,Durum wheat,Tonnes,units,239320
2016-09,Canada,Durum wheat,Tonnes,units,337027
2016-10,Canada,Durum wheat,Tonnes,units,431294
2016-11,Canada,Durum wheat,Tonnes,units,724806
2016-12,Canada,Durum wheat,Tonnes,units,438264
2017-01,Canada,Durum wheat,Tonnes,units,455307
2017-02,Canada,Durum wheat,Tonnes,units,333481
2017-03,Canada,Durum wheat,Tonnes,units,545874
2017-04,Canada,Durum wheat,Tonnes,units,450400
2017-05,Canada,Durum wheat,Tonnes,units,304556
2017-06,Canada,Durum wheat,Tonnes,units,703880
2017-07,Canada,Durum wheat,Tonnes,units,407817
2017-08,Canada,Durum wheat,Tonnes,units,379554
2017-09,Canada,Durum wheat,Tonnes,units,254612
2017-10,Canada,Durum wheat,Tonnes,units,301254
2017-11,Canada,Durum wheat,Tonnes,units,493188
2017-12,Canada,Durum wheat,Tonnes,units,315445
2018-01,Canada,Durum wheat,Tonnes,units,561338
2018-02,Canada,Durum wheat,Tonnes,units,275284
2018-03,Canada,Durum wheat,Tonnes,units,333092
2018-04,Canada,Durum wheat,Tonnes,units,236374
2018-05,Canada,Durum wheat,Tonnes,units,245281
2018-06,Canada,Durum wheat,Tonnes,units,490610
2018-07,Canada,Durum wheat,Tonnes,units,487600
2018-08,Canada,Durum wheat,Tonnes,units,395919
2018-09,Canada,Durum wheat,Tonnes,units,277949
2018-10,Canada,Durum wheat,Tonnes,units,262269
2018-11,Canada,Durum wheat,Tonnes,units,442815
2018-12,Canada,Durum wheat,Tonnes,units,269900
2019-01,Canada,Durum wheat,Tonnes,units,462991
2019-02,Canada,Durum wheat,Tonnes,units,465803
2019-03,Canada,Durum wheat,Tonnes,units,471400
2019-04,Canada,Durum wheat,Tonnes,units,451500
2019-05,Canada,Durum wheat,Tonnes,units,446199
2019-06,Canada,Durum wheat,Tonnes,units,459600
2019-07,Canada,Durum wheat,Tonnes,units,501389
